Following order demand cannot be delivered:
Order 1331800471 Time 0 Amount 10954
Order 1331803671 Time 5 Amount 6734
Order 1331803671 Time 9 Amount 2240
Order 1331805471 Time 7 Amount 241
Order 1331805471 Time 8 Amount 960
Order 1331805471 Time 10 Amount 480
Order 1331806371 Time 1 Amount 72
Order 1331808371 Time 6 Amount 859
Order 1331808371 Time 7 Amount 2240
Order 1331809271 Time 0 Amount 1075
Order 1331809271 Time 6 Amount 400
Order 1331809271 Time 7 Amount 400
Order 1331809471 Time 0 Amount 412
Order 1331809471 Time 2 Amount 240
Order 1331809471 Time 5 Amount 400
Order 1331809471 Time 7 Amount 400
Order 1331810471 Time 3 Amount 707
Order 1331810471 Time 6 Amount 400
Order 1331810671 Time 8 Amount 478
Order 1331810671 Time 9 Amount 500
Order 1331810771 Time 0 Amount 1106
Order 1331810771 Time 5 Amount 1100
Order 1331810771 Time 7 Amount 600
Order 1331810771 Time 8 Amount 500
Order 1331810771 Time 9 Amount 600
Order 1331811371 Time 3 Amount 2454
Order 1331811371 Time 6 Amount 1134
Order 1331811371 Time 7 Amount 3213
Order 1331811471 Time 0 Amount 1572
Order 1331811471 Time 6 Amount 1680
Order 1331811471 Time 7 Amount 1680
Order 1331811471 Time 8 Amount 1120
Order 1331811471 Time 9 Amount 1120
Order 1331811471 Time 10 Amount 560
Order 1331812271 Time 5 Amount 935
Order 1331812271 Time 7 Amount 1000
Order 1331812271 Time 8 Amount 2526
Order 1331812671 Time 5 Amount 291
Order 1331813271 Time 0 Amount 584
Order 1331813271 Time 1 Amount 250
Order 1331813271 Time 2 Amount 250
Order 1331813271 Time 3 Amount 250
Order 1331813271 Time 4 Amount 250
Order 1331813271 Time 5 Amount 250
Order 1331813271 Time 6 Amount 750
Order 1331813271 Time 9 Amount 500
Order 1331813371 Time 8 Amount 220
Order 1331814171 Time 7 Amount 47
Order 1331814171 Time 8 Amount 216
Order 1331815071 Time 10 Amount 508
Order 1331815071 Time 11 Amount 1026
Order 1331815971 Time 1 Amount 1613
Order 1331815971 Time 5 Amount 756
Order 1331815971 Time 6 Amount 756
Order 1331815971 Time 7 Amount 2538
Order 1331817371 Time 0 Amount 697
Order 1331818571 Time 3 Amount 164
Order 1331818571 Time 4 Amount 800
Order 1331818571 Time 5 Amount 800
Order 1331818571 Time 6 Amount 800
Order 1331818571 Time 7 Amount 800
Order 1331818671 Time 0 Amount 777
Order 1331818671 Time 5 Amount 800
Order 1331818671 Time 6 Amount 2400
Order 1331818671 Time 9 Amount 800
Order 1331818671 Time 10 Amount 800
Order 1331819271 Time 5 Amount 2926
Order 1331819271 Time 10 Amount 600
Order 1332001471 Time 1 Amount 221
Order 1332001671 Time 10 Amount 788
Order 1332001671 Time 11 Amount 2695
Order 1332001771 Time 5 Amount 647
Order 1332001771 Time 7 Amount 5600
Order 1332001771 Time 8 Amount 13440
Order 1332003171 Time 1 Amount 1193
Order 1332003171 Time 2 Amount 3840
Order 1332003171 Time 4 Amount 1440
Order 1332003171 Time 6 Amount 960
Order 1332003171 Time 7 Amount 960
Order 1332003171 Time 8 Amount 960
Order 1332003171 Time 9 Amount 960
Order 1332003171 Time 10 Amount 960
Order 1332003171 Time 11 Amount 960
Order 1332004071 Time 0 Amount 1109
Order 1332005371 Time 4 Amount 3336
Order 1332005371 Time 8 Amount 1200
Order 1332005371 Time 9 Amount 800
Order 1332006171 Time 7 Amount 602
Order 1332006271 Time 0 Amount 275
Order 1332006271 Time 5 Amount 400
Order 1332006271 Time 6 Amount 800
Order 1332006671 Time 4 Amount 451
Order 1332006671 Time 5 Amount 4468
Order 1332006671 Time 7 Amount 2460
Order 1332006671 Time 9 Amount 2145
Order 1332007371 Time 5 Amount 522
Order 1332007371 Time 7 Amount 1000
Order 1332007371 Time 9 Amount 500
Order 1332008171 Time 3 Amount 3368
Order 1332008171 Time 6 Amount 3024
Order 1332008171 Time 8 Amount 1512
Order 1332008171 Time 9 Amount 1512
Order 1332008171 Time 10 Amount 2052
Order 1332008271 Time 6 Amount 560
Order 1332009071 Time 1 Amount 186
Order 1332009071 Time 2 Amount 800
Order 1332009071 Time 4 Amount 800
Order 1332009071 Time 5 Amount 800
Order 1332009071 Time 6 Amount 800
Order 1332009071 Time 7 Amount 800
Order 1332009071 Time 8 Amount 800
Order 1332009071 Time 9 Amount 800
Order 1335702571 Time 5 Amount 48
Order 1335702571 Time 7 Amount 800
Order 1335702871 Time 7 Amount 1146
Order 1335705371 Time 9 Amount 39
Order 1335706371 Time 0 Amount 540
Order 1335706371 Time 1 Amount 500
Order 1335706371 Time 2 Amount 500
Order 1335706371 Time 5 Amount 500
Order 1335706371 Time 6 Amount 1000
Order 1335706871 Time 1 Amount 1377
Order 1335706871 Time 5 Amount 200
Order 1335706871 Time 8 Amount 400
Order 1335707671 Time 7 Amount 380
Following safety storage amount is used:
Order 1331800171 Time 0 Amount 99999999
Order 1331800171 Time 1 Amount 99999999
Order 1331800171 Time 2 Amount 99999999
Order 1331800171 Time 3 Amount 99999999
Order 1331800171 Time 4 Amount 99999999
Order 1331800171 Time 5 Amount 99999999
Order 1331800171 Time 6 Amount 99999999
Order 1331800171 Time 7 Amount 99999999
Order 1331800171 Time 8 Amount 99999999
Order 1331800171 Time 9 Amount 99999999
Order 1331800171 Time 10 Amount 99999999
Order 1331800171 Time 11 Amount 99999999
Order 1331800171 Time 12 Amount 99999999
Order 1331800171 Time 13 Amount 99999999
Order 1331800271 Time 0 Amount 99999999
Order 1331800271 Time 1 Amount 99999999
Order 1331800271 Time 2 Amount 99999999
Order 1331800271 Time 3 Amount 99999999
